Month,All items,All items/less food&energy,Gasoline
1947 Jan,21.48,,
1947 Feb,21.62,,
1947 Mar,22.0,,
1947 Apr,22.0,,
1947 May,21.95,,
1947 Jun,22.08,,
1947 Jul,22.23,,
1947 Aug,22.4,,
1947 Sep,22.84,,
1947 Oct,22.91,,
1947 Nov,23.06,,
1947 Dec,23.41,,
1948 Jan,23.68,,
1948 Feb,23.67,,
1948 Mar,23.5,,
1948 Apr,23.82,,
1948 May,24.01,,
1948 Jun,24.15,,
1948 Jul,24.4,,
1948 Aug,24.43,,
1948 Sep,24.36,,
1948 Oct,24.31,,
1948 Nov,24.16,,
1948 Dec,24.05,,
1949 Jan,24.01,,
1949 Feb,23.91,,
1949 Mar,23.91,,
1949 Apr,23.92,,
1949 May,23.91,,
1949 Jun,23.92,,
1949 Jul,23.7,,
1949 Aug,23.7,,
1949 Sep,23.75,,
1949 Oct,23.67,,
1949 Nov,23.7,,
1949 Dec,23.61,,
1950 Jan,23.51,,
1950 Feb,23.61,,
1950 Mar,23.64,,
1950 Apr,23.65,,
1950 May,23.77,,
1950 Jun,23.88,,
1950 Jul,24.07,,
1950 Aug,24.2,,
1950 Sep,24.34,,
1950 Oct,24.5,,
1950 Nov,24.6,,
1950 Dec,24.98,,
1951 Jan,25.38,,
1951 Feb,25.83,,
1951 Mar,25.88,,
1951 Apr,25.92,,
1951 May,25.99,,
1951 Jun,25.93,,
1951 Jul,25.91,,
1951 Aug,25.86,,
1951 Sep,26.03,,
1951 Oct,26.16,,
1951 Nov,26.32,,
1951 Dec,26.47,,
1952 Jan,26.45,,
1952 Feb,26.41,,
1952 Mar,26.39,,
1952 Apr,26.46,,
1952 May,26.47,,
1952 Jun,26.53,,
1952 Jul,26.68,,
1952 Aug,26.69,,
1952 Sep,26.63,,
1952 Oct,26.69,,
1952 Nov,26.69,,
1952 Dec,26.71,,
1953 Jan,26.64,,
1953 Feb,26.59,,
1953 Mar,26.63,,
1953 Apr,26.69,,
1953 May,26.7,,
1953 Jun,26.77,,
1953 Jul,26.79,,
1953 Aug,26.85,,
1953 Sep,26.89,,
1953 Oct,26.95,,
1953 Nov,26.85,,
1953 Dec,26.87,,
1954 Jan,26.94,,
1954 Feb,26.99,,
1954 Mar,26.93,,
1954 Apr,26.86,,
1954 May,26.93,,
1954 Jun,26.94,,
1954 Jul,26.86,,
1954 Aug,26.85,,
1954 Sep,26.81,,
1954 Oct,26.72,,
1954 Nov,26.78,,
1954 Dec,26.77,,
1955 Jan,26.77,,
1955 Feb,26.82,,
1955 Mar,26.79,,
1955 Apr,26.79,,
1955 May,26.77,,
1955 Jun,26.71,,
1955 Jul,26.76,,
1955 Aug,26.72,,
1955 Sep,26.85,,
1955 Oct,26.82,,
1955 Nov,26.88,,
1955 Dec,26.87,,
1956 Jan,26.83,,
1956 Feb,26.86,,
1956 Mar,26.89,,
1956 Apr,26.93,,
1956 May,27.03,,
1956 Jun,27.15,,
1956 Jul,27.29,,
1956 Aug,27.31,,
1956 Sep,27.35,,
1956 Oct,27.51,,
1956 Nov,27.51,,
1956 Dec,27.63,,
1957 Jan,27.67,28.5,
1957 Feb,27.8,28.6,
1957 Mar,27.86,28.7,
1957 Apr,27.93,28.8,
1957 May,28.0,28.8,
1957 Jun,28.11,28.9,
1957 Jul,28.19,29.0,
1957 Aug,28.28,29.0,
1957 Sep,28.32,29.1,
1957 Oct,28.32,29.2,
1957 Nov,28.41,29.3,
1957 Dec,28.47,29.3,
1958 Jan,28.64,29.3,
1958 Feb,28.7,29.4,
1958 Mar,28.87,29.5,
1958 Apr,28.94,29.5,
1958 May,28.94,29.5,
1958 Jun,28.91,29.6,
1958 Jul,28.89,29.6,
1958 Aug,28.94,29.6,
1958 Sep,28.91,29.7,
1958 Oct,28.91,29.7,
1958 Nov,28.95,29.8,
1958 Dec,28.97,29.9,
1959 Jan,29.01,29.9,
1959 Feb,29.0,29.9,
1959 Mar,28.97,30.0,
1959 Apr,28.98,30.0,
1959 May,29.04,30.1,
1959 Jun,29.11,30.2,
1959 Jul,29.15,30.2,
1959 Aug,29.18,30.2,
1959 Sep,29.25,30.3,
1959 Oct,29.35,30.4,
1959 Nov,29.35,30.4,
1959 Dec,29.41,30.5,
1960 Jan,29.37,30.5,
1960 Feb,29.41,30.6,
1960 Mar,29.41,30.6,
1960 Apr,29.54,30.6,
1960 May,29.57,30.6,
1960 Jun,29.61,30.7,
1960 Jul,29.55,30.6,
1960 Aug,29.61,30.6,
1960 Sep,29.61,30.6,
1960 Oct,29.75,30.8,
1960 Nov,29.78,30.8,
1960 Dec,29.81,30.7,
1961 Jan,29.84,30.8,
1961 Feb,29.84,30.8,
1961 Mar,29.84,30.9,
1961 Apr,29.81,30.9,
1961 May,29.84,30.9,
1961 Jun,29.84,31.0,
1961 Jul,29.92,31.0,
1961 Aug,29.94,31.1,
1961 Sep,29.98,31.1,
1961 Oct,29.98,31.1,
1961 Nov,29.98,31.2,
1961 Dec,30.01,31.2,
1962 Jan,30.04,31.2,
1962 Feb,30.11,31.2,
1962 Mar,30.17,31.3,
1962 Apr,30.21,31.3,
1962 May,30.24,31.4,
1962 Jun,30.21,31.4,
1962 Jul,30.22,31.4,
1962 Aug,30.28,31.5,
1962 Sep,30.42,31.5,
1962 Oct,30.38,31.5,
1962 Nov,30.38,31.5,
1962 Dec,30.38,31.6,
1963 Jan,30.44,31.5,
1963 Feb,30.48,31.6,
1963 Mar,30.51,31.7,
1963 Apr,30.48,31.7,
1963 May,30.51,31.7,
1963 Jun,30.61,31.8,
1963 Jul,30.69,31.8,
1963 Aug,30.75,31.9,
1963 Sep,30.72,31.9,
1963 Oct,30.75,32.0,
1963 Nov,30.78,32.0,
1963 Dec,30.88,32.1,
1964 Jan,30.94,32.2,
1964 Feb,30.91,32.2,
