Series ID,Year,Period,Label,Value
CUSR0000SETB01,1967,M01,1967 Jan,26.3
CUSR0000SETB01,1967,M02,1967 Feb,26.2
CUSR0000SETB01,1967,M03,1967 Mar,26.1
CUSR0000SETB01,1967,M04,1967 Apr,26.4
CUSR0000SETB01,1967,M05,1967 May,26.4
CUSR0000SETB01,1967,M06,1967 Jun,26.4
CUSR0000SETB01,1967,M07,1967 Jul,26.4
CUSR0000SETB01,1967,M08,1967 Aug,26.4
CUSR0000SETB01,1967,M09,1967 Sep,26.7
CUSR0000SETB01,1967,M10,1967 Oct,26.4
CUSR0000SETB01,1967,M11,1967 Nov,26.8
CUSR0000SETB01,1967,M12,1967 Dec,26.4
CUSR0000SETB01,1968,M01,1968 Jan,26.8
CUSR0000SETB01,1968,M02,1968 Feb,26.9
CUSR0000SETB01,1968,M03,1968 Mar,26.8
CUSR0000SETB01,1968,M04,1968 Apr,26.5
CUSR0000SETB01,1968,M05,1968 May,26.6
CUSR0000SETB01,1968,M06,1968 Jun,26.7
CUSR0000SETB01,1968,M07,1968 Jul,26.8
CUSR0000SETB01,1968,M08,1968 Aug,27.0
CUSR0000SETB01,1968,M09,1968 Sep,26.9
CUSR0000SETB01,1968,M10,1968 Oct,26.9
CUSR0000SETB01,1968,M11,1968 Nov,27.1
CUSR0000SETB01,1968,M12,1968 Dec,26.9
CUSR0000SETB01,1969,M01,1969 Jan,27.1
CUSR0000SETB01,1969,M02,1969 Feb,27.2
CUSR0000SETB01,1969,M03,1969 Mar,27.7
CUSR0000SETB01,1969,M04,1969 Apr,27.9
CUSR0000SETB01,1969,M05,1969 May,27.8
CUSR0000SETB01,1969,M06,1969 Jun,28.0
CUSR0000SETB01,1969,M07,1969 Jul,27.8
CUSR0000SETB01,1969,M08,1969 Aug,27.8
CUSR0000SETB01,1969,M09,1969 Sep,27.7
CUSR0000SETB01,1969,M10,1969 Oct,27.8
CUSR0000SETB01,1969,M11,1969 Nov,27.5
CUSR0000SETB01,1969,M12,1969 Dec,27.7
CUSR0000SETB01,1970,M01,1970 Jan,27.6
CUSR0000SETB01,1970,M02,1970 Feb,27.8
CUSR0000SETB01,1970,M03,1970 Mar,27.2
CUSR0000SETB01,1970,M04,1970 Apr,28.3
CUSR0000SETB01,1970,M05,1970 May,28.1
CUSR0000SETB01,1970,M06,1970 Jun,27.8
CUSR0000SETB01,1970,M07,1970 Jul,28.0
CUSR0000SETB01,1970,M08,1970 Aug,27.5
CUSR0000SETB01,1970,M09,1970 Sep,27.7
CUSR0000SETB01,1970,M10,1970 Oct,28.1
CUSR0000SETB01,1970,M11,1970 Nov,28.2
CUSR0000SETB01,1970,M12,1970 Dec,28.4
CUSR0000SETB01,1971,M01,1971 Jan,28.5
CUSR0000SETB01,1971,M02,1971 Feb,28.2
CUSR0000SETB01,1971,M03,1971 Mar,27.9
CUSR0000SETB01,1971,M04,1971 Apr,27.5
CUSR0000SETB01,1971,M05,1971 May,27.5
CUSR0000SETB01,1971,M06,1971 Jun,27.7
CUSR0000SETB01,1971,M07,1971 Jul,27.3
CUSR0000SETB01,1971,M08,1971 Aug,28.4
CUSR0000SETB01,1971,M09,1971 Sep,28.6
CUSR0000SETB01,1971,M10,1971 Oct,28.7
CUSR0000SETB01,1971,M11,1971 Nov,28.4
CUSR0000SETB01,1971,M12,1971 Dec,28.5
CUSR0000SETB01,1972,M01,1972 Jan,28.3
CUSR0000SETB01,1972,M02,1972 Feb,28.1
CUSR0000SETB01,1972,M03,1972 Mar,28.1
CUSR0000SETB01,1972,M04,1972 Apr,27.8
CUSR0000SETB01,1972,M05,1972 May,28.0
CUSR0000SETB01,1972,M06,1972 Jun,27.8
CUSR0000SETB01,1972,M07,1972 Jul,28.0
CUSR0000SETB01,1972,M08,1972 Aug,28.4
CUSR0000SETB01,1972,M09,1972 Sep,29.0
CUSR0000SETB01,1972,M10,1972 Oct,29.1
CUSR0000SETB01,1972,M11,1972 Nov,29.3
CUSR0000SETB01,1972,M12,1972 Dec,29.3
CUSR0000SETB01,1973,M01,1973 Jan,29.4
CUSR0000SETB01,1973,M02,1973 Feb,29.6
CUSR0000SETB01,1973,M03,1973 Mar,29.7
CUSR0000SETB01,1973,M04,1973 Apr,30.2
CUSR0000SETB01,1973,M05,1973 May,30.4
CUSR0000SETB01,1973,M06,1973 Jun,31.1
CUSR0000SETB01,1973,M07,1973 Jul,31.0
CUSR0000SETB01,1973,M08,1973 Aug,31.0
CUSR0000SETB01,1973,M09,1973 Sep,30.8
CUSR0000SETB01,1973,M10,1973 Oct,32.2
CUSR0000SETB01,1973,M11,1973 Nov,33.7
CUSR0000SETB01,1973,M12,1973 Dec,35.2
CUSR0000SETB01,1974,M01,1974 Jan,37.2
CUSR0000SETB01,1974,M02,1974 Feb,39.3
CUSR0000SETB01,1974,M03,1974 Mar,42.2
CUSR0000SETB01,1974,M04,1974 Apr,42.8
CUSR0000SETB01,1974,M05,1974 May,43.6
CUSR0000SETB01,1974,M06,1974 Jun,43.7
CUSR0000SETB01,1974,M07,1974 Jul,43.7
CUSR0000SETB01,1974,M08,1974 Aug,43.5
CUSR0000SETB01,1974,M09,1974 Sep,43.3
CUSR0000SETB01,1974,M10,1974 Oct,42.6
CUSR0000SETB01,1974,M11,1974 Nov,42.4
CUSR0000SETB01,1974,M12,1974 Dec,42.5
CUSR0000SETB01,1975,M01,1975 Jan,42.8
CUSR0000SETB01,1975,M02,1975 Feb,42.8
CUSR0000SETB01,1975,M03,1975 Mar,43.0
CUSR0000SETB01,1975,M04,1975 Apr,43.0
CUSR0000SETB01,1975,M05,1975 May,43.5
CUSR0000SETB01,1975,M06,1975 Jun,44.5
CUSR0000SETB01,1975,M07,1975 Jul,46.1
CUSR0000SETB01,1975,M08,1975 Aug,46.6
CUSR0000SETB01,1975,M09,1975 Sep,47.0
CUSR0000SETB01,1975,M10,1975 Oct,47.4
CUSR0000SETB01,1975,M11,1975 Nov,47.4
CUSR0000SETB01,1975,M12,1975 Dec,47.2
CUSR0000SETB01,1976,M01,1976 Jan,47.1
CUSR0000SETB01,1976,M02,1976 Feb,46.8
